*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月09日
时间：09:39:03
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000018        0     000296957.1       接收     0000060A      标准帧      数据帧        04     03 1F 67 10      
000019        0     000296957.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 21 50      
000020        0     000296957.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000021        0     000296957.9       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000022        0     000296958.1       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000023        0     000296958.4       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000024        0     000296958.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000025        0     000296958.9       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000026        0     000296959.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000027        0     000296959.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000028        0     000297027.1       接收     0000060A      标准帧      数据帧        04     03 1F 69 10      
000029        0     000297027.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 21 4F      
000030        0     000297027.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000031        0     000297027.9       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000032        0     000297028.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000033        0     000297028.4       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000034        0     000297028.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000035        0     000297028.9       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000036        0     000297029.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000037        0     000297029.4       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000038        0     000297102.1       接收     0000060A      标准帧      数据帧        04     03 1F 6B 10      
000039        0     000297102.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 21 4F      
000040        0     000297102.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000041        0     000297102.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000042        0     000297103.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000043        0     000297103.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000044        0     000297103.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000045        0     000297103.9       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000046        0     000297104.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000047        0     000297104.4       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000048        0     000297172.1       接收     0000060A      标准帧      数据帧        04     03 1F 6D 10      
000049        0     000297172.4       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 4F      
000050        0     000297172.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000051        0     000297172.9       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000052        0     000297173.1       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000053        0     000297173.4       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000054        0     000297173.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000055        0     000297173.9       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000056        0     000297174.2       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000057        0     000297174.4       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000058        0     000297242.1       接收     0000060A      标准帧      数据帧        04     03 1F 6F 10      
000059        0     000297242.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 4F      
000060        0     000297242.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000061        0     000297242.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000062        0     000297243.1       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000063        0     000297243.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000064        0     000297243.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000065        0     000297243.9       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000066        0     000297244.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000067        0     000297244.4       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000068        0     000297312.1       接收     0000060A      标准帧      数据帧        04     03 1F 71 10      
000069        0     000297312.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 4F      
000070        0     000297312.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000071        0     000297312.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000072        0     000297313.1       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000073        0     000297313.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
