*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月09日
时间：09:39:03
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000074        0     000297313.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000075        0     000297313.9       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000076        0     000297314.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000077        0     000297314.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000078        0     000297387.1       接收     0000060A      标准帧      数据帧        04     03 1F 73 10      
000079        0     000297387.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000080        0     000297387.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000081        0     000297387.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000082        0     000297388.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000083        0     000297388.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000084        0     000297388.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000085        0     000297388.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000086        0     000297389.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000087        0     000297389.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000088        0     000297457.1       接收     0000060A      标准帧      数据帧        04     03 1F 75 10      
000089        0     000297457.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000090        0     000297457.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000091        0     000297457.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000092        0     000297458.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000093        0     000297458.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000094        0     000297458.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000095        0     000297458.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000096        0     000297459.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000097        0     000297459.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000098        0     000297532.1       接收     0000060A      标准帧      数据帧        04     03 1F 77 10      
000099        0     000297532.4       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 4F      
000100        0     000297532.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000101        0     000297532.9       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000102        0     000297533.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000103        0     000297533.4       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000104        0     000297533.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000105        0     000297533.9       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000106        0     000297534.2       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000107        0     000297534.5       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000108        0     000297602.1       接收     0000060A      标准帧      数据帧        04     03 1F 79 10      
000109        0     000297602.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000110        0     000297602.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 70      
000111        0     000297602.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000112        0     000297603.1       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000113        0     000297603.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000114        0     000297603.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000115        0     000297603.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000116        0     000297604.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000117        0     000297604.4       接收     0000060D      标准帧      数据帧        08     00 7C EF A0 70 80 05 05      
000118        0     000297672.1       接收     0000060A      标准帧      数据帧        04     03 1F 7B 10      
000119        0     000297672.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000120        0     000297672.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F9 80 20 01 70      
000121        0     000297672.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000122        0     000297673.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 CC      
000123        0     000297673.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000124        0     000297673.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000125        0     000297673.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000126        0     000297674.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000127        0     000297674.4       接收     0000060D      标准帧      数据帧        08     00 7C EF A0 70 80 05 05      
000128        0     000297742.0       接收     0000060A      标准帧      数据帧        04     03 1F 7D 10      
000129        0     000297742.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000130        0     000297742.6       接收     0000060B      标准帧      数据帧        08     02 4F 83 F9 80 20 01 71      
000131        0     000297742.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000132        0     000297743.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000133        0     000297743.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000134        0     000297743.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000135        0     000297743.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000136        0     000297744.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000137        0     000297744.4       接收     0000060D      标准帧      数据帧        08     00 7C EF A0 70 80 05 05      
000138        0     000297817.0       接收     0000060A      标准帧      数据帧        04     03 1F 7F 10      
000139        0     000297817.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000140        0     000297817.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F9 80 20 01 71      
000141        0     000297817.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7F      
000142        0     000297818.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 82 20 CC      
000143        0     000297818.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000144        0     000297818.6       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000145        0     000297818.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000146        0     000297819.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000147        0     000297819.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000148        0     000297887.0       接收     0000060A      标准帧      数据帧        04     03 1F 81 10      
000149        0     000297887.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000150        0     000297887.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000151        0     000297887.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7F      
000152        0     000297888.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000153        0     000297888.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000154        0     000297888.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000155        0     000297888.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000156        0     000297889.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000157        0     000297889.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000158        0     000297892.3       接收     00000201      标准帧      数据帧        08     40 19 00 00 10 F4 00 00      
000159        0     000297892.5       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000160        0     000297962.0       接收     0000060A      标准帧      数据帧        04     03 1F 83 10      
000161        0     000297962.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000162        0     000297962.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000163        0     000297962.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000164        0     000297963.1       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000165        0     000297963.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000166        0     000297963.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000167        0     000297963.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000168        0     000297964.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000169        0     000297964.4       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000170        0     000298032.0       接收     0000060A      标准帧      数据帧        04     03 1F 85 10      
000171        0     000298032.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000172        0     000298032.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000173        0     000298032.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000174        0     000298033.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000175        0     000298033.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000176        0     000298033.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000177        0     000298033.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000178        0     000298034.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000179        0     000298034.3       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000180        0     000298102.0       接收     0000060A      标准帧      数据帧        04     03 1F 87 10      
000181        0     000298102.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000182        0     000298102.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000183        0     000298102.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7E      
000184        0     000298103.0       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000185        0     000298103.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000186        0     000298103.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000187        0     000298103.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000188        0     000298104.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000189        0     000298104.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000190        0     000298172.0       接收     0000060A      标准帧      数据帧        04     03 1F 89 10      
000191        0     000298172.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 05 80 20 01 50      
000192        0     000298172.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000193        0     000298172.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000194        0     000298173.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000195        0     000298173.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000196        0     000298173.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000197        0     000298173.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000198        0     000298174.1       接收     0000060D      标准帧      数据帧        08     02 7D 2F A1 70 80 0E 0C      
000199        0     000298174.3       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000200        0     000298247.0       接收     0000060A      标准帧      数据帧        04     03 1F 8B 10      
000201        0     000298247.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 05 80 20 01 4F      
000202        0     000298247.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 1F E1 71      
000203        0     000298247.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000204        0     000298248.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000205        0     000298248.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000206        0     000298248.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000207        0     000298248.8       接收     0000060D      标准帧      数据帧        08     08 7D 2F A0 70 80 05 05      
000208        0     000298249.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000209        0     000298249.3       接收     0000060D      标准帧      数据帧        08     00 7D 4F A0 70 80 05 05      
000210        0     000298317.0       接收     0000060A      标准帧      数据帧        04     03 1F 8D 10      
000211        0     000298317.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 05 80 20 01 50      
000212        0     000298317.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 1F E1 71      
000213        0     000298317.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000214        0     000298318.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000215        0     000298318.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000216        0     000298318.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000217        0     000298318.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000218        0     000298319.1       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000219        0     000298319.3       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000220        0     000298387.0       接收     0000060A      标准帧      数据帧        04     03 1F 8F 10      
000221        0     000298387.3       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000222        0     000298387.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000223        0     000298387.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000224        0     000298388.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000225        0     000298388.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000226        0     000298388.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000227        0     000298388.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000228        0     000298389.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000229        0     000298389.3       接收     0000060D      标准帧      数据帧        08     00 7D 2F A0 70 80 05 05      
000230        0     000298462.0       接收     0000060A      标准帧      数据帧        04     03 1F 91 10      
000231        0     000298462.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000232        0     000298462.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000233        0     000298462.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000234        0     000298463.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000235        0     000298463.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000236        0     000298463.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000237        0     000298463.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000238        0     000298464.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000239        0     000298464.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000240        0     000298532.0       接收     0000060A      标准帧      数据帧        04     03 1F 93 10      
000241        0     000298532.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000242        0     000298532.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000243        0     000298532.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000244        0     000298533.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000245        0     000298533.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000246        0     000298533.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000247        0     000298533.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000248        0     000298534.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000249        0     000298534.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000250        0     000298602.0       接收     0000060A      标准帧      数据帧        04     03 1F 95 10      
000251        0     000298602.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 21 51      
000252        0     000298602.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000253        0     000298602.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000254        0     000298603.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 82 20 E8      
000255        0     000298603.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000256        0     000298603.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000257        0     000298603.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000258        0     000298604.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000259        0     000298604.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000260        0     000298677.0       接收     0000060A      标准帧      数据帧        04     03 1F 97 10      
000261        0     000298677.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 07 80 20 21 51      
000262        0     000298677.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000263        0     000298677.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7C      
000264        0     000298678.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 82 20 E8      
000265        0     000298678.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000266        0     000298678.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000267        0     000298678.8       接收     0000060D      标准帧      数据帧        08     08 7D 0F A0 70 80 05 05      
000268        0     000298679.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000269        0     000298679.3       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 05 05      
000270        0     000298747.0       接收     0000060A      标准帧      数据帧        04     03 1F 99 10      
000271        0     000298747.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000272        0     000298747.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000273        0     000298747.8       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000274        0     000298748.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000275        0     000298748.3       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000276        0     000298748.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000277        0     000298748.8       接收     0000060D      标准帧      数据帧        08     08 7C EF A0 70 80 05 05      
000278        0     000298749.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000279        0     000298749.3       接收     0000060D      标准帧      数据帧        08     00 7C EF A0 70 80 05 05      
000280        0     000298817.0       接收     0000060A      标准帧      数据帧        04     03 1F 9B 10      
000281        0     000298817.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 50      
000282        0     000298817.5       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000283        0     000298817.7       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7D      
000284        0     000298818.0       接收     0000060C      标准帧      数据帧        07     08 8C A5 3A 02 20 E8      
000285        0     000298818.2       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
000286        0     000298818.5       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 82 20 E8      
000287        0     000298818.8       接收     0000060D      标准帧      数据帧        08     08 7C EF A0 70 80 05 05      
000288        0     000298819.0       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0E 0C      
000289        0     000298819.3       接收     0000060D      标准帧      数据帧        08     00 7C EF A0 70 80 05 05      
000290        0     000298892.0       接收     0000060A      标准帧      数据帧        04     03 1F 9D 10      
000291        0     000298892.2       接收     0000060B      标准帧      数据帧        08     08 4F 44 06 80 20 01 51      
000292        0     000298892.5       接收     00000201      标准帧      数据帧        08     40 19 00 00 10 F4 00 00      
000293        0     000298892.7       接收     0000060B      标准帧      数据帧        08     02 4F 83 F8 80 20 01 71      
000294        0     000298892.9       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000295        0     000298893.1       接收     0000060B      标准帧      数据帧        08     00 4F 5C 33 80 20 01 7C      
000296        0     000298893.4       接收     0000060C      标准帧      数据帧        07     08 8C A3 3A 02 20 E8      
000297        0     000298893.6       接收     0000060C      标准帧      数据帧        07     02 7C 61 3A 02 20 E8      
