*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:19:54
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000062        0     000055872.9       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000063        0     000055873.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000064        0     000055873.4       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000065        0     000055873.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000066        0     000055873.9       接收     0000060D      标准帧      数据帧        08     02 7D 0F A1 70 80 0A 0C      
000067        0     000055874.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000068        0     000055946.8       接收     0000060A      标准帧      数据帧        04     03 00 D7 10      
000069        0     000055947.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000070        0     000055947.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000071        0     000055947.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000072        0     000055947.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000073        0     000055948.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000074        0     000055948.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000075        0     000055948.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000076        0     000055948.9       接收     0000060D      标准帧      数据帧        08     02 7C CF A1 70 80 0A 0C      
000077        0     000055949.1       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000078        0     000056016.8       接收     0000060A      标准帧      数据帧        04     03 00 D9 10      
000079        0     000056017.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000080        0     000056017.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000081        0     000056017.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7E      
000082        0     000056017.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000083        0     000056018.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000084        0     000056018.3       接收     0000060C      标准帧      数据帧        07     03 84 61 3A 02 20 E8      
000085        0     000056018.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000086        0     000056018.9       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000087        0     000056019.1       接收     0000060D      标准帧      数据帧        08     03 7D 2F A1 70 80 0D 0C      
000088        0     000056086.8       接收     0000060A      标准帧      数据帧        04     03 00 DB 10      
000089        0     000056087.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000090        0     000056087.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000091        0     000056087.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 00 80 20 01 7D      
000092        0     000056087.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000093        0     000056088.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000094        0     000056088.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000095        0     000056088.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000096        0     000056088.9       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000097        0     000056089.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000098        0     000056156.8       接收     0000060A      标准帧      数据帧        04     03 00 DD 10      
000099        0     000056157.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000100        0     000056157.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 00 80 20 01 89      
000101        0     000056157.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000102        0     000056157.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000103        0     000056158.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000104        0     000056158.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000105        0     000056158.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000106        0     000056158.9       接收     0000060D      标准帧      数据帧        08     02 7C 8F A1 70 80 0A 0C      
000107        0     000056159.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000108        0     000056231.8       接收     0000060A      标准帧      数据帧        04     03 00 DF 10      
000109        0     000056232.1       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000110        0     000056232.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000111        0     000056232.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7D      
000112        0     000056232.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
000113        0     000056233.1       接收     0000060C      标准帧      数据帧        07     02 84 63 3A 02 20 E8      
000114        0     000056233.3       接收     0000060C      标准帧      数据帧        07     03 84 63 3A 02 20 E8      
000115        0     000056233.6       接收     0000060D      标准帧      数据帧        08     00 7D 0F A0 70 80 06 05      
000116        0     000056233.9       接收     0000060D      标准帧      数据帧        08     02 7C AF A1 70 80 0A 0C      
000117        0     000056234.1       接收     0000060D      标准帧      数据帧        08     03 7D 0F A1 70 80 0D 0C      
000118        0     000056237.0       接收     00000201      标准帧      数据帧        08     40 1F 40 00 10 F4 00 00      
000119        0     000056237.1       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000120        0     000056301.8       接收     0000060A      标准帧      数据帧        04     03 00 E1 10      
000121        0     000056302.0       接收     0000060B      标准帧      数据帧        08     00 4E 53 FF 80 20 01 99      
000122        0     000056302.3       接收     0000060B      标准帧      数据帧        08     02 4E BC 01 80 20 01 89      
000123        0     000056302.6       接收     0000060B      标准帧      数据帧        08     03 4F 24 01 80 20 01 7E      
000124        0     000056302.8       接收     0000060C      标准帧      数据帧        07     00 84 A3 3A 02 20 E8      
