*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:37:25
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000086        0     000936355.5       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000087        0     000936355.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000088        0     000936356.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000089        0     000936356.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000090        0     000936356.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000091        0     000936356.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000092        0     000936356.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000093        0     000936357.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000094        0     000936357.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000095        0     000936357.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000096        0     000936357.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000097        0     000936414.5       接收     00000201      标准帧      数据帧        08     40 1F 40 00 10 F8 00 00      
000098        0     000936414.7       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000099        0     000936424.4       接收     00000600      标准帧      数据帧        05     05 02 76 91 10      
000100        0     000936424.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000101        0     000936424.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000102        0     000936425.2       接收     00000701      标准帧      数据帧        08     02 4E B1 F0 80 20 03 68      
000103        0     000936425.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000104        0     000936425.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000105        0     000936426.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000106        0     000936426.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000107        0     000936426.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000108        0     000936426.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000109        0     000936426.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000110        0     000936427.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000111        0     000936427.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000112        0     000936427.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000113        0     000936427.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000114        0     000936494.4       接收     00000600      标准帧      数据帧        05     05 02 76 93 10      
000115        0     000936494.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000116        0     000936494.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000117        0     000936495.2       接收     00000701      标准帧      数据帧        08     02 4E B1 F0 80 20 03 68      
000118        0     000936495.5       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000119        0     000936495.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000120        0     000936496.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 66      
000121        0     000936496.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000122        0     000936496.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000123        0     000936496.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000124        0     000936496.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000125        0     000936497.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000126        0     000936497.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000127        0     000936497.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000128        0     000936497.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000129        0     000936569.4       接收     00000600      标准帧      数据帧        05     05 02 76 95 10      
000130        0     000936569.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000131        0     000936569.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000132        0     000936570.2       接收     00000701      标准帧      数据帧        08     02 4E B1 F0 80 20 03 69      
000133        0     000936570.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000134        0     000936570.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000135        0     000936571.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000136        0     000936571.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4E      
000137        0     000936571.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000138        0     000936571.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000139        0     000936571.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000140        0     000936572.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000141        0     000936572.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000142        0     000936572.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000143        0     000936572.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000144        0     000936639.4       接收     00000600      标准帧      数据帧        05     05 02 76 97 10      
000145        0     000936639.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000146        0     000936639.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000147        0     000936640.2       接收     00000701      标准帧      数据帧        08     02 4E E2 01 80 20 01 51      
000148        0     000936640.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000149        0     000936640.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000150        0     000936641.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000151        0     000936641.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4E      
000152        0     000936641.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000153        0     000936641.6       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000154        0     000936641.9       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000155        0     000936642.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000156        0     000936642.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000157        0     000936642.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000158        0     000936642.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000159        0     000936709.4       接收     00000600      标准帧      数据帧        05     06 02 76 99 10      
000160        0     000936709.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000161        0     000936709.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000162        0     000936710.2       接收     00000701      标准帧      数据帧        08     02 4E E2 01 80 20 01 52      
000163        0     000936710.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000164        0     000936710.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 58      
000165        0     000936711.0       接收     00000701      标准帧      数据帧        08     05 4F 09 E5 80 20 03 58      
000166        0     000936711.2       接收     00000701      标准帧      数据帧        08     06 4E 82 00 80 20 01 65      
000167        0     000936711.5       接收     00000701      标准帧      数据帧        08     07 4F 29 FF 80 20 01 4E      
000168        0     000936711.7       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000169        0     000936711.9       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000170        0     000936712.1       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000171        0     000936712.3       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000172        0     000936712.5       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000173        0     000936712.8       接收     00000702      标准帧      数据帧        05     05 9C E2 33 5B      
000174        0     000936713.0       接收     00000702      标准帧      数据帧        05     06 AC E0 33 23      
000175        0     000936713.2       接收     00000702      标准帧      数据帧        05     07 AC E0 33 5B      
000176        0     000936784.4       接收     00000600      标准帧      数据帧        05     05 02 76 9B 10      
000177        0     000936784.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000178        0     000936784.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000179        0     000936785.2       接收     00000701      标准帧      数据帧        08     02 4E E2 01 80 20 01 52      
000180        0     000936785.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4D      
000181        0     000936785.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 58      
000182        0     000936786.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000183        0     000936786.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4E      
000184        0     000936786.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000185        0     000936786.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000186        0     000936786.9       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000187        0     000936787.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000188        0     000936787.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000189        0     000936787.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000190        0     000936787.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000191        0     000936854.4       接收     00000600      标准帧      数据帧        05     05 02 76 9D 10      
000192        0     000936854.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000193        0     000936854.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000194        0     000936855.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000195        0     000936855.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000196        0     000936855.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 58      
000197        0     000936856.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000198        0     000936856.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000199        0     000936856.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000200        0     000936856.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000201        0     000936856.9       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000202        0     000936857.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000203        0     000936857.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000204        0     000936857.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000205        0     000936857.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000206        0     000936924.4       接收     00000600      标准帧      数据帧        05     05 02 76 9F 10      
000207        0     000936924.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000208        0     000936924.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000209        0     000936925.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000210        0     000936925.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000211        0     000936925.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000212        0     000936926.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000213        0     000936926.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000214        0     000936926.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000215        0     000936926.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000216        0     000936926.9       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000217        0     000936927.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000218        0     000936927.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000219        0     000936927.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000220        0     000936927.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000221        0     000936999.4       接收     00000600      标准帧      数据帧        05     05 02 76 A1 10      
000222        0     000936999.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000223        0     000936999.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000224        0     000937000.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000225        0     000937000.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000226        0     000937000.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000227        0     000937000.9       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000228        0     000937001.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000229        0     000937001.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000230        0     000937001.6       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000231        0     000937001.8       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000232        0     000937002.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000233        0     000937002.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000234        0     000937002.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000235        0     000937002.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000236        0     000937069.4       接收     00000600      标准帧      数据帧        05     07 02 76 A3 10      
000237        0     000937069.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000238        0     000937069.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000239        0     000937070.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000240        0     000937070.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000241        0     000937070.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000242        0     000937070.9       接收     00000701      标准帧      数据帧        08     05 4F 09 E5 80 20 03 58      
000243        0     000937071.2       接收     00000701      标准帧      数据帧        08     06 4E C2 23 80 20 04 6C      
000244        0     000937071.5       接收     00000701      标准帧      数据帧        08     07 4E 82 00 80 20 01 65      
000245        0     000937071.7       接收     00000701      标准帧      数据帧        08     08 4F 29 FF 80 20 01 4D      
000246        0     000937071.9       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000247        0     000937072.1       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000248        0     000937072.4       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000249        0     000937072.6       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000250        0     000937072.8       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000251        0     000937073.0       接收     00000702      标准帧      数据帧        05     05 9C E2 33 5B      
000252        0     000937073.2       接收     00000702      标准帧      数据帧        05     06 00 00 06 38      
000253        0     000937073.4       接收     00000702      标准帧      数据帧        05     07 AC E0 33 23      
000254        0     000937073.6       接收     00000702      标准帧      数据帧        05     08 AC E0 33 5B      
000255        0     000937139.4       接收     00000600      标准帧      数据帧        05     05 02 76 A5 10      
000256        0     000937139.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000257        0     000937139.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000258        0     000937140.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000259        0     000937140.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4D      
000260        0     000937140.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000261        0     000937140.9       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 66      
000262        0     000937141.2       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000263        0     000937141.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000264        0     000937141.6       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000265        0     000937141.8       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000266        0     000937142.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000267        0     000937142.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000268        0     000937142.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000269        0     000937142.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000270        0     000937214.4       接收     00000600      标准帧      数据帧        05     06 02 76 A7 10      
000271        0     000937214.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000272        0     000937214.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000273        0     000937215.1       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 51      
000274        0     000937215.4       接收     00000701      标准帧      数据帧        08     03 4E 6A 19 80 20 04 86      
000275        0     000937215.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000276        0     000937215.9       接收     00000701      标准帧      数据帧        08     05 4F 09 E5 80 20 03 57      
000277        0     000937216.2       接收     00000701      标准帧      数据帧        08     06 4E 82 00 80 20 01 65      
000278        0     000937216.5       接收     00000701      标准帧      数据帧        08     07 4F 29 FF 80 20 01 4D      
000279        0     000937216.7       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000280        0     000937216.9       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000281        0     000937217.1       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000282        0     000937217.3       接收     00000702      标准帧      数据帧        05     03 00 00 06 38      
000283        0     000937217.5       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000284        0     000937217.7       接收     00000702      标准帧      数据帧        05     05 9C E2 33 5B      
000285        0     000937217.9       接收     00000702      标准帧      数据帧        05     06 AC E0 33 23      
000286        0     000937218.2       接收     00000702      标准帧      数据帧        05     07 AC E0 33 5B      
000287        0     000937284.4       接收     00000600      标准帧      数据帧        05     05 02 76 A9 10      
000288        0     000937284.6       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000289        0     000937284.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000290        0     000937285.1       接收     00000701      标准帧      数据帧        08     02 4E DA 00 80 20 01 51      
000291        0     000937285.4       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4D      
000292        0     000937285.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000293        0     000937285.9       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000294        0     000937286.2       接收     00000701      标准帧      数据帧        08     06 4F 2A 00 80 20 01 4D      
000295        0     000937286.4       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000296        0     000937286.6       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000297        0     000937286.8       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000298        0     000937287.0       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000299        0     000937287.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000300        0     000937287.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000301        0     000937287.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000302        0     000937354.4       接收     00000600      标准帧      数据帧        05     05 02 76 AB 10      
