*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月04日
时间：10:37:25
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000000        0     000936024.9       接收     00000201      标准帧      数据帧        08     40 1F 40 00 10 F8 00 00      
000001        0     000936025.1       接收     00000600      标准帧      数据帧        05     05 02 76 85 10      
000002        0     000936025.3       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000003        0     000936025.5       接收     00000701      标准帧      数据帧        08     06 4F 1A 29 80 20 03 5C      
000004        0     000936025.7       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000005        0     000936026.0       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000006        0     000936026.1       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000007        0     000936026.4       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000008        0     000936026.6       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 51      
000009        0     000936026.9       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4F      
000010        0     000936027.2       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 58      
000011        0     000936027.4       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 66      
000012        0     000936027.7       接收     00000701      标准帧      数据帧        08     06 4F 2A 00 80 20 01 4D      
000013        0     000936027.9       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000014        0     000936028.1       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000015        0     000936028.3       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000016        0     000936028.5       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000017        0     000936028.8       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000018        0     000936029.0       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000019        0     000936029.2       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000020        0     000936064.4       接收     00000600      标准帧      数据帧        05     05 02 76 87 10      
000021        0     000936064.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000022        0     000936064.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000023        0     000936065.2       接收     00000701      标准帧      数据帧        08     02 4E B1 EF 80 20 03 6B      
000024        0     000936065.5       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4F      
000025        0     000936065.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 58      
000026        0     000936066.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000027        0     000936066.3       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4C      
000028        0     000936066.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000029        0     000936066.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000030        0     000936066.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000031        0     000936067.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000032        0     000936067.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000033        0     000936067.6       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000034        0     000936067.8       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000035        0     000936139.4       接收     00000600      标准帧      数据帧        05     06 02 76 89 10      
000036        0     000936139.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000037        0     000936139.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000038        0     000936140.2       接收     00000701      标准帧      数据帧        08     02 4E E2 00 80 20 01 52      
000039        0     000936140.5       接收     00000701      标准帧      数据帧        08     03 4E EA 02 80 20 01 4B      
000040        0     000936140.7       接收     00000701      标准帧      数据帧        08     04 4E FA 06 80 20 03 4F      
000041        0     000936141.0       接收     00000701      标准帧      数据帧        08     05 4F 2A 01 80 20 01 58      
000042        0     000936141.2       接收     00000701      标准帧      数据帧        08     06 4E 82 00 80 20 01 65      
000043        0     000936141.5       接收     00000701      标准帧      数据帧        08     07 4F 29 FF 80 20 01 4D      
000044        0     000936141.7       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000045        0     000936141.9       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000046        0     000936142.1       接收     00000702      标准帧      数据帧        05     02 9C E0 33 23      
000047        0     000936142.4       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000048        0     000936142.6       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000049        0     000936142.8       接收     00000702      标准帧      数据帧        05     05 9C E0 33 23      
000050        0     000936143.0       接收     00000702      标准帧      数据帧        05     06 AC E0 33 23      
000051        0     000936143.2       接收     00000702      标准帧      数据帧        05     07 AC E0 33 5B      
000052        0     000936209.4       接收     00000600      标准帧      数据帧        05     05 02 76 8B 10      
000053        0     000936209.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000054        0     000936209.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000055        0     000936210.2       接收     00000701      标准帧      数据帧        08     02 4E B1 EF 80 20 03 6B      
000056        0     000936210.5       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4F      
000057        0     000936210.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000058        0     000936211.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 65      
000059        0     000936211.3       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000060        0     000936211.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000061        0     000936211.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000062        0     000936211.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000063        0     000936212.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000064        0     000936212.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000065        0     000936212.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000066        0     000936212.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000067        0     000936279.4       接收     00000600      标准帧      数据帧        05     05 02 76 8D 10      
000068        0     000936279.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000069        0     000936279.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4E      
000070        0     000936280.2       接收     00000701      标准帧      数据帧        08     02 4E B1 F0 80 20 03 68      
000071        0     000936280.5       接收     00000701      标准帧      数据帧        08     03 4E FA 06 80 20 03 4E      
000072        0     000936280.7       接收     00000701      标准帧      数据帧        08     04 4F 2A 01 80 20 01 57      
000073        0     000936281.0       接收     00000701      标准帧      数据帧        08     05 4E 82 00 80 20 01 64      
000074        0     000936281.3       接收     00000701      标准帧      数据帧        08     06 4F 29 FF 80 20 01 4D      
000075        0     000936281.5       接收     00000702      标准帧      数据帧        05     00 9C E0 33 23      
000076        0     000936281.7       接收     00000702      标准帧      数据帧        05     01 9C E0 33 23      
000077        0     000936281.9       接收     00000702      标准帧      数据帧        05     02 9C E2 33 23      
000078        0     000936282.1       接收     00000702      标准帧      数据帧        05     03 9C E0 33 23      
000079        0     000936282.3       接收     00000702      标准帧      数据帧        05     04 9C E0 33 23      
000080        0     000936282.5       接收     00000702      标准帧      数据帧        05     05 AC E0 33 23      
000081        0     000936282.7       接收     00000702      标准帧      数据帧        05     06 AC E0 33 5B      
000082        0     000936354.4       接收     00000600      标准帧      数据帧        05     05 02 76 8F 10      
000083        0     000936354.7       接收     00000701      标准帧      数据帧        08     00 4E 81 FF 80 20 01 69      
000084        0     000936354.9       接收     00000701      标准帧      数据帧        08     01 4E A9 FD 80 20 01 4D      
000085        0     000936355.2       接收     00000701      标准帧      数据帧        08     02 4E B1 F0 80 20 03 68      
