*********************************************************
CAN通信数据记录
CAN1波特率：500Kbps
CAN2波特率：1Mbps
日期：2018年07月09日
时间：17:48:05
*********************************************************

序列       通道号     时间标识     传输方向   帧ID(Hex)     帧类型      帧格式     数据长度  数据(Hex)
000062        0     019009704.8       接收     0000060E      标准帧      数据帧        04     00 03 00 00      
000063        0     019009705.0       接收     0000060C      标准帧      数据帧        07     0C 94 E5 4A 02 20 E8      
000064        0     019009705.2       接收     0000060E      标准帧      数据帧        04     04 03 00 00      
000065        0     019009705.4       接收     0000060C      标准帧      数据帧        07     10 9D 27 6A 82 20 CC      
000066        0     019009705.6       接收     0000060E      标准帧      数据帧        04     13 00 00 00      
000067        0     019009705.8       接收     0000060C      标准帧      数据帧        07     08 8C E5 3A 82 20 CC      
000068        0     019009706.0       接收     0000060E      标准帧      数据帧        04     01 03 00 00      
000069        0     019009706.2       接收     0000060C      标准帧      数据帧        07     0A 94 E7 3A 82 20 CC      
000070        0     019009706.3       接收     0000060E      标准帧      数据帧        04     0B 02 00 00      
000071        0     019009706.6       接收     0000060D      标准帧      数据帧        08     07 7F AF A6 70 80 19 0B      
000072        0     019009706.8       接收     0000060E      标准帧      数据帧        04     03 03 00 00      
000073        0     019009707.0       接收     0000060D      标准帧      数据帧        08     09 84 EF A0 70 80 05 05      
000074        0     019009707.2       接收     0000060E      标准帧      数据帧        04     06 02 00 00      
000075        0     019009707.4       接收     0000060D      标准帧      数据帧        08     02 7E 6F A0 70 80 05 05      
000076        0     019009707.6       接收     0000060E      标准帧      数据帧        04     0E 02 00 00      
000077        0     019009707.8       接收     00000700      标准帧      数据帧        04     04 1E 01 00      
000078        0     019009710.6       接收     0000060A      标准帧      数据帧        04     11 42 8F 10      
000079        0     019009710.8       接收     0000060B      标准帧      数据帧        08     07 4E 3C 05 80 20 01 80      
000080        0     019009711.1       接收     0000060B      标准帧      数据帧        08     09 4E A3 E8 80 20 81 91      
000081        0     019009711.3       接收     0000060B      标准帧      数据帧        08     02 4F 63 F5 80 20 01 78      
000082        0     019009711.6       接收     0000060B      标准帧      数据帧        08     00 4F E3 FD 80 1F E1 83      
000083        0     019009711.8       接收     0000060B      标准帧      数据帧        08     04 4F EC 06 80 1F E1 86      
000084        0     019009712.1       接收     0000060B      标准帧      数据帧        08     13 4F A4 27 80 20 01 7F      
000085        0     019009712.4       接收     0000060B      标准帧      数据帧        08     01 4F EC 29 80 20 01 81      
000086        0     019009712.6       接收     0000060B      标准帧      数据帧        08     0B 4F 84 3C 80 5F 81 8B      
000087        0     019009712.9       接收     0000060B      标准帧      数据帧        08     03 50 AC 0F 80 20 21 77      
000088        0     019009713.2       接收     0000060B      标准帧      数据帧        08     06 50 EC 18 80 1F E1 7F      
000089        0     019009713.4       接收     0000060B      标准帧      数据帧        08     0E 51 14 12 80 60 C1 76      
000090        0     019009713.7       接收     0000060B      标准帧      数据帧        08     0F 51 54 1E 80 1F 41 78      
000091        0     019009714.0       接收     0000060B      标准帧      数据帧        08     05 51 3C 28 80 1F A1 8B      
000092        0     019009714.2       接收     0000060B      标准帧      数据帧        08     0C 51 84 32 80 20 01 8C      
000093        0     019009714.5       接收     0000060B      标准帧      数据帧        08     10 51 AC 27 80 1F 81 85      
000094        0     019009714.7       接收     0000060B      标准帧      数据帧        08     08 51 64 45 80 20 01 88      
000095        0     019009715.0       接收     0000060B      标准帧      数据帧        08     0A 52 2C 41 80 20 01 7A      
000096        0     019009715.3       接收     0000060C      标准帧      数据帧        07     07 84 63 3A 02 20 E8      
000097        0     019009715.5       接收     0000060C      标准帧      数据帧        07     09 9D 29 6B 82 20 C8      
000098        0     019009715.8       接收     0000060C      标准帧      数据帧        07     02 8C A5 3A 02 20 E8      
000099        0     019009716.0       接收     0000060C      标准帧      数据帧        07     00 8C A5 3A 02 20 E8      
000100        0     019009716.3       接收     0000060C      标准帧      数据帧        07     04 94 E5 5A 82 20 E8      
000101        0     019009716.5       接收     0000060C      标准帧      数据帧        07     13 9C E7 3A 82 20 CC      
000102        0     019009716.8       接收     0000060C      标准帧      数据帧        07     01 8C A5 3A 82 20 E8      
000103        0     019009717.0       接收     0000060C      标准帧      数据帧        07     0B A5 6F 7D 02 20 4C      
000104        0     019009717.2       接收     0000060C      标准帧      数据帧        07     03 8C A5 3A 02 20 E8      
000105        0     019009717.5       接收     0000060C      标准帧      数据帧        07     06 94 E5 5A 82 20 E8      
000106        0     019009717.7       接收     0000060C      标准帧      数据帧        07     0E 9D 2B 7C 02 20 C8      
000107        0     019009718.0       接收     0000060C      标准帧      数据帧        07     0F 94 E7 4A 82 20 C8      
000108        0     019009718.2       接收     0000060C      标准帧      数据帧        07     05 94 E5 5A 82 20 E8      
000109        0     019009718.5       接收     0000060C      标准帧      数据帧        07     0C 94 E5 3A 02 20 E8      
000110        0     019009718.7       接收     0000060C      标准帧      数据帧        07     10 9D 27 6A 82 20 CC      
000111        0     019009719.0       接收     0000060C      标准帧      数据帧        07     08 94 E7 3A 82 20 CC      
000112        0     019009719.2       接收     0000060C      标准帧      数据帧        07     0A 94 E7 3A 82 20 CC      
000113        0     019009719.5       接收     0000060D      标准帧      数据帧        08     07 7D EF A6 70 80 19 0B      
000114        0     019009719.7       接收     0000060D      标准帧      数据帧        08     09 80 8F A0 70 80 05 05      
000115        0     019009720.0       接收     0000060D      标准帧      数据帧        08     02 7D 6F A0 70 80 05 05      
000116        0     019009720.3       接收     0000060D      标准帧      数据帧        08     00 7C 8F A0 70 80 05 05      
000117        0     019009720.5       接收     0000060D      标准帧      数据帧        08     04 80 6F A0 70 80 05 05      
000118        0     019009720.8       接收     0000060D      标准帧      数据帧        08     13 7D CF A0 70 80 05 05      
000119        0     019009721.1       接收     0000060D      标准帧      数据帧        08     01 7C EF A0 70 80 05 05      
000120        0     019009721.3       接收     0000060D      标准帧      数据帧        08     0B 90 8F A0 70 80 05 05      
000121        0     019009721.6       接收     0000060D      标准帧      数据帧        08     03 7D 2F A0 70 80 05 05      
000122        0     019009721.9       接收     0000060D      标准帧      数据帧        08     06 7A 2F A0 70 80 05 05      
000123        0     019009722.1       接收     0000060D      标准帧      数据帧        08     0E 8B 0F A0 70 80 05 05      
000124        0     019009722.4       接收     0000060D      标准帧      数据帧        08     0F 7C AF A0 70 80 05 05      
000125        0     019009722.7       接收     0000060D      标准帧      数据帧        08     05 7D AF A0 70 80 05 05      
000126        0     019009722.9       接收     0000060D      标准帧      数据帧        08     0C 7D 2F A0 70 80 05 05      
000127        0     019009723.2       接收     0000060D      标准帧      数据帧        08     10 7F 6F A0 70 80 05 05      
000128        0     019009723.5       接收     0000060D      标准帧      数据帧        08     08 7E 0F A0 70 80 05 05      
000129        0     019009723.7       接收     0000060D      标准帧      数据帧        08     0A 7E 4F A0 70 80 05 05      
000130        0     019009723.9       接收     0000060E      标准帧      数据帧        04     07 00 00 00      
000131        0     019009724.1       接收     0000060E      标准帧      数据帧        04     09 02 00 00      
000132        0     019009724.3       接收     0000060E      标准帧      数据帧        04     02 03 00 00      
000133        0     019009724.5       接收     0000060E      标准帧      数据帧        04     00 03 00 00      
000134        0     019009724.7       接收     0000060E      标准帧      数据帧        04     04 03 00 00      
000135        0     019009724.9       接收     0000060E      标准帧      数据帧        04     13 00 00 00      
000136        0     019009725.1       接收     0000060E      标准帧      数据帧        04     01 03 00 00      
000137        0     019009725.3       接收     0000060E      标准帧      数据帧        04     0B 02 00 00      
000138        0     019009725.5       接收     0000060E      标准帧      数据帧        04     03 03 00 00      
000139        0     019009725.7       接收     0000060E      标准帧      数据帧        04     06 02 00 00      
000140        0     019009725.9       接收     0000060E      标准帧      数据帧        04     0E 02 00 00      
000141        0     019009726.1       接收     0000060E      标准帧      数据帧        04     0F 02 00 00      
000142        0     019009726.2       接收     0000060E      标准帧      数据帧        04     05 03 00 00      
000143        0     019009726.4       接收     0000060E      标准帧      数据帧        04     0C 02 00 00      
000144        0     019009726.6       接收     0000060E      标准帧      数据帧        04     10 02 00 00      
000145        0     019009726.8       接收     0000060E      标准帧      数据帧        04     08 02 00 00      
000146        0     019009727.0       接收     0000060E      标准帧      数据帧        04     0A 02 00 00      
000147        0     019009785.6       接收     0000060A      标准帧      数据帧        04     12 42 91 10      
000148        0     019009785.8       接收     0000060B      标准帧      数据帧        08     07 4E 3C 05 80 1F E1 7E      
000149        0     019009786.1       接收     0000060B      标准帧      数据帧        08     09 4E A3 E9 80 20 81 91      
000150        0     019009786.3       接收     0000060B      标准帧      数据帧        08     02 4F 63 F5 80 20 01 77      
000151        0     019009786.6       接收     0000060B      标准帧      数据帧        08     00 4F EB FD 80 1F E1 82      
000152        0     019009786.8       接收     0000060B      标准帧      数据帧        08     04 4F EC 06 80 1F E1 86      
000153        0     019009787.1       接收     0000060B      标准帧      数据帧        08     13 4F A4 28 80 20 01 7F      
000154        0     019009787.4       接收     0000060B      标准帧      数据帧        08     01 4F E4 29 80 20 01 82      
000155        0     019009787.6       接收     0000060B      标准帧      数据帧        08     0B 4F 84 3C 80 9F 81 8B      
000156        0     019009787.9       接收     0000060B      标准帧      数据帧        08     03 50 AC 0F 80 20 21 76      
000157        0     019009788.2       接收     0000060B      标准帧      数据帧        08     06 50 EC 17 80 1F C1 80      
000158        0     019009788.4       接收     0000060B      标准帧      数据帧        08     0E 51 14 12 80 60 C1 76      
000159        0     019009788.7       接收     0000060B      标准帧      数据帧        08     0F 51 54 1D 80 1F 41 78      
000160        0     019009788.9       接收     0000060B      标准帧      数据帧        08     05 51 3C 28 80 1F 81 8A      
000161        0     019009789.2       接收     0000060B      标准帧      数据帧        08     0C 51 84 31 80 1F E1 8B      
000162        0     019009789.5       接收     0000060B      标准帧      数据帧        08     10 51 AC 27 80 1F 81 85      
000163        0     019009789.7       接收     0000060B      标准帧      数据帧        08     08 51 64 45 80 20 01 87      
000164        0     019009790.0       接收     0000060B      标准帧      数据帧        08     0D 51 34 5A 7F E0 01 8B      
000165        0     019009790.2       接收     0000060B      标准帧      数据帧        08     0A 52 2C 42 80 20 21 7C      
000166        0     019009790.5       接收     0000060C      标准帧      数据帧        07     07 84 63 3A 02 20 E8      
000167        0     019009790.7       接收     0000060C      标准帧      数据帧        07     09 9D 29 6B 82 20 CC      
000168        0     019009791.0       接收     0000060C      标准帧      数据帧        07     02 8C A3 3A 02 20 E8      
000169        0     019009791.2       接收     0000060C      标准帧      数据帧        07     00 8C A3 3A 02 20 E8      
000170        0     019009791.5       接收     0000060C      标准帧      数据帧        07     04 94 E7 5A 82 20 CC      
000171        0     019009791.7       接收     0000060C      标准帧      数据帧        07     13 9C E7 3A 82 20 CC      
000172        0     019009792.0       接收     0000060C      标准帧      数据帧        07     01 8C A5 3A 82 20 E8      
000173        0     019009792.2       接收     0000060C      标准帧      数据帧        07     0B AD 71 7D 02 20 4C      
000174        0     019009792.5       接收     0000060C      标准帧      数据帧        07     03 8C A5 3A 02 20 E8      
000175        0     019009792.7       接收     0000060C      标准帧      数据帧        07     06 94 E5 5A 82 20 E8      
000176        0     019009793.0       接收     0000060C      标准帧      数据帧        07     0E 9D 6B 7C 02 20 CC      
000177        0     019009793.2       接收     0000060C      标准帧      数据帧        07     0F 94 E7 4A 82 20 CC      
000178        0     019009793.5       接收     0000060C      标准帧      数据帧        07     05 94 E5 4A 82 20 E8      
000179        0     019009793.7       接收     0000060C      标准帧      数据帧        07     0C 94 E5 3A 02 20 E8      
000180        0     019009794.0       接收     0000060C      标准帧      数据帧        07     10 9D 27 6A 82 20 CC      
000181        0     019009794.2       接收     0000060C      标准帧      数据帧        07     08 94 E5 3A 82 20 E8      
000182        0     019009794.5       接收     0000060C      标准帧      数据帧        07     0D A5 27 8D 82 20 64      
000183        0     019009794.7       接收     0000060C      标准帧      数据帧        07     0A 94 E5 3A 82 20 E8      
000184        0     019009795.0       接收     0000060D      标准帧      数据帧        08     07 7B AF A6 70 80 19 0B      
000185        0     019009795.2       接收     0000060D      标准帧      数据帧        08     09 80 8F A0 70 80 05 05      
000186        0     019009795.5       接收     0000060D      标准帧      数据帧        08     02 7B 8F A0 70 80 05 05      
000187        0     019009795.8       接收     0000060D      标准帧      数据帧        08     00 7A 8F A0 70 80 05 05      
000188        0     019009796.0       接收     0000060D      标准帧      数据帧        08     04 80 6F A0 70 80 05 05      
000189        0     019009796.3       接收     0000060D      标准帧      数据帧        08     13 7D CF A0 70 80 05 05      
000190        0     019009796.5       接收     0000060D      标准帧      数据帧        08     01 7B CF A0 70 80 05 05      
000191        0     019009796.8       接收     0000060D      标准帧      数据帧        08     0B 90 8F A0 70 80 05 05      
000192        0     019009797.1       接收     0000060D      标准帧      数据帧        08     03 7C 6F A0 70 80 05 05      
000193        0     019009797.3       接收     0000060D      标准帧      数据帧        08     06 78 6F A0 70 80 05 05      
000194        0     019009797.6       接收     0000060D      标准帧      数据帧        08     0E 8B 0F A0 70 80 05 05      
000195        0     019009797.9       接收     0000060D      标准帧      数据帧        08     0F 7C AF A0 70 80 05 05      
000196        0     019009798.1       接收     0000060D      标准帧      数据帧        08     05 7B AF A0 70 80 05 05      
000197        0     019009798.4       接收     0000060D      标准帧      数据帧        08     0C 7B AF A0 70 80 05 05      
000198        0     019009798.6       接收     0000060D      标准帧      数据帧        08     10 7F 6F A0 70 80 05 05      
000199        0     019009798.9       接收     0000060D      标准帧      数据帧        08     08 7B 8F A0 70 80 05 05      
000200        0     019009799.2       接收     0000060D      标准帧      数据帧        08     0D 7D 0F A0 70 80 05 05      
000201        0     019009799.4       接收     0000060D      标准帧      数据帧        08     0A 7B 2F A0 70 80 05 05      
000202        0     019009799.6       接收     0000060E      标准帧      数据帧        04     07 00 00 00      
000203        0     019009799.8       接收     0000060E      标准帧      数据帧        04     09 02 00 00      
000204        0     019009800.0       接收     0000060E      标准帧      数据帧        04     02 03 00 00      
000205        0     019009800.2       接收     0000060E      标准帧      数据帧        04     00 03 00 00      
000206        0     019009800.4       接收     0000060E      标准帧      数据帧        04     04 03 00 00      
000207        0     019009800.6       接收     0000060E      标准帧      数据帧        04     13 00 00 00      
000208        0     019009800.8       接收     0000060E      标准帧      数据帧        04     01 03 00 00      
000209        0     019009801.0       接收     0000060E      标准帧      数据帧        04     0B 02 00 00      
000210        0     019009801.2       接收     0000060E      标准帧      数据帧        04     03 03 00 00      
000211        0     019009801.4       接收     0000060E      标准帧      数据帧        04     06 02 00 00      
000212        0     019009801.6       接收     0000060E      标准帧      数据帧        04     0E 02 00 00      
000213        0     019009801.7       接收     0000060E      标准帧      数据帧        04     0F 02 00 00      
000214        0     019009801.9       接收     0000060E      标准帧      数据帧        04     05 03 00 00      
000215        0     019009802.1       接收     0000060E      标准帧      数据帧        04     0C 02 00 00      
000216        0     019009802.3       接收     0000060E      标准帧      数据帧        04     10 02 00 00      
000217        0     019009802.5       接收     0000060E      标准帧      数据帧        04     08 02 00 00      
000218        0     019009802.7       接收     0000060E      标准帧      数据帧        04     0D 02 00 00      
000219        0     019009802.9       接收     0000060E      标准帧      数据帧        04     0A 02 00 00      
000220        0     019009855.6       接收     0000060A      标准帧      数据帧        04     13 42 93 10      
000221        0     019009855.8       接收     0000060B      标准帧      数据帧        08     07 4E 3C 05 80 20 01 7D      
000222        0     019009856.1       接收     0000060B      标准帧      数据帧        08     0E 4E 4B F8 80 20 01 83      
000223        0     019009856.3       接收     0000060B      标准帧      数据帧        08     09 4E A3 E9 80 20 81 91      
000224        0     019009856.6       接收     0000060B      标准帧      数据帧        08     02 4F 63 F5 80 20 01 75      
000225        0     019009856.8       接收     0000060B      标准帧      数据帧        08     00 4F EB FD 80 1F E1 82      
000226        0     019009857.1       接收     0000060B      标准帧      数据帧        08     04 4F EC 06 80 1F E1 86      
000227        0     019009857.4       接收     0000060B      标准帧      数据帧        08     13 4F AC 26 80 20 01 7E      
000228        0     019009857.6       接收     0000060B      标准帧      数据帧        08     01 4F EC 29 80 1F E1 81      
000229        0     019009857.9       接收     0000060B      标准帧      数据帧        08     0B 4F 84 3B 80 9F 81 8B      
000230        0     019009858.2       接收     0000060B      标准帧      数据帧        08     03 50 AC 0F 80 20 01 74      
000231        0     019009858.4       接收     0000060B      标准帧      数据帧        08     06 50 EC 17 80 1F C1 80      
000232        0     019009858.7       接收     0000060B      标准帧      数据帧        08     11 51 14 0F 80 20 01 7B      
000233        0     019009858.9       接收     0000060B      标准帧      数据帧        08     0F 51 54 1D 80 1F 61 7A      
000234        0     019009859.2       接收     0000060B      标准帧      数据帧        08     05 51 3C 27 80 1F 81 8A      
000235        0     019009859.5       接收     0000060B      标准帧      数据帧        08     0C 51 84 31 80 1F E1 8B      
000236        0     019009859.7       接收     0000060B      标准帧      数据帧        08     10 51 AC 26 80 1F 81 84      
000237        0     019009860.0       接收     0000060B      标准帧      数据帧        08     08 51 64 45 80 20 01 87      
000238        0     019009860.2       接收     0000060B      标准帧      数据帧        08     0D 51 34 5A 7F E0 01 8B      
000239        0     019009860.5       接收     0000060B      标准帧      数据帧        08     0A 52 2C 41 80 20 01 7C      
000240        0     019009860.8       接收     0000060C      标准帧      数据帧        07     07 84 63 3A 02 20 E8      
000241        0     019009861.0       接收     0000060C      标准帧      数据帧        07     0E A5 29 8D 82 20 64      
000242        0     019009861.2       接收     0000060C      标准帧      数据帧        07     09 9D 2B 6B 82 20 AC      
000243        0     019009861.5       接收     0000060C      标准帧      数据帧        07     02 8C A3 3A 02 20 E8      
